device_id,timestamp,heartbeat
watch2,1775122619088,73.0
watch2,1775122620047,72.0
watch2,1775122626413,72.0
watch2,1775122627429,72.0
watch2,1775122628494,72.0
watch2,1775122629097,71.0
watch2,1775122630516,71.0
watch2,1775122631526,71.0
watch2,1775122632120,70.0
watch2,1775122633134,69.0
watch2,1775122634557,69.0
watch2,1775122635572,69.0
watch2,1775122636584,69.0
watch2,1775122637598,69.0
watch2,1775122638164,70.0
watch2,1775122639178,69.0
watch2,1775122643208,70.0
watch2,1775122648213,71.0
watch2,1775122652243,72.0
watch2,1775122654849,71.0
watch2,1775122656621,71.0
watch2,1775122657643,71.0
watch2,1775122657875,70.0
watch2,1775122659669,70.0
watch2,1775122660697,70.0
watch2,1775122661722,70.0
watch2,1775122662753,70.0
watch2,1775122663778,70.0
watch2,1775122664810,70.0
watch2,1775122664932,69.0
watch2,1775122666859,69.0
watch2,1775122669918,68.0
watch2,1775122676883,68.0
watch2,1775122676955,69.0
watch2,1775122678952,69.0
watch2,1775122678992,70.0
watch2,1775122680973,70.0
watch2,1775122682023,71.0
watch2,1775122682000,70.0
watch2,1775122683043,71.0
watch2,1775122684074,71.0
watch2,1775122685101,71.0
watch2,1775122686026,73.0
watch2,1775122687041,74.0
watch2,1775122688059,76.0
watch2,1775122689070,78.0
watch2,1775122690165,78.0
watch2,1775122691093,81.0
watch2,1775122692202,81.0
watch2,1775122693113,83.0
watch2,1775122694240,83.0
watch2,1775122695132,87.0
watch2,1775122696145,88.0
watch2,1775122697283,88.0
watch2,1775122698159,87.0
watch2,1775122699310,87.0
watch2,1775122700180,86.0
watch2,1775122701190,85.0
watch2,1775122702198,81.0
watch2,1775122703219,79.0
watch2,1775122704362,79.0
watch2,1775122705393,79.0
watch2,1775122706405,79.0
watch2,1775122707432,79.0
watch2,1775122708457,79.0
watch2,1775122709495,79.0
watch2,1775122710513,79.0
watch2,1775122711550,79.0
watch2,1775122712573,79.0
watch2,1775122713607,79.0
watch2,1775122714493,78.0
watch2,1775122715477,77.0
watch2,1775122716488,78.0
watch2,1775122717678,78.0
watch2,1775122718731,78.0
watch2,1775122719758,78.0
watch2,1775122720604,79.0
watch2,1775122721800,79.0
watch2,1775122722610,80.0
watch2,1775122723634,81.0
watch2,1775122724824,81.0
watch2,1775122725848,81.0
watch2,1775122726652,82.0
watch2,1775122727671,83.0
watch2,1775122728894,83.0
watch2,1775122729920,83.0
watch2,1775122730691,84.0
watch2,1775122731702,83.0
watch2,1775122732704,84.0
watch2,1775122733956,84.0
watch2,1775122735002,84.0
watch2,1775122736036,84.0
watch2,1775122736714,85.0
watch2,1775122737739,87.0
watch2,1775122739084,87.0
watch2,1775122740107,87.0
watch2,1775122740765,88.0
watch2,1775122742138,88.0
watch2,1775122742776,85.0
watch2,1775122744173,85.0
watch2,1775122744794,84.0
watch2,1775122745814,83.0
watch2,1775122746816,82.0
watch2,1775122747830,81.0
watch2,1775122749245,81.0
watch2,1775122749850,80.0
watch2,1775122750878,79.0
watch2,1775122752311,79.0
watch2,1775122752864,78.0
watch2,1775122754339,78.0
watch2,1775122755351,78.0
watch2,1775122755895,77.0
watch2,1775122756910,78.0
watch2,1775122758423,78.0
watch2,1775122759442,78.0
watch2,1775122759944,79.0
watch2,1775122761468,79.0
watch2,1775122762489,79.0
watch2,1775122763524,79.0
watch2,1775122764565,79.0
watch2,1775122765608,79.0
watch2,1775122766643,79.0
watch2,1775122766954,78.0
watch2,1775122768676,78.0
watch2,1775122769703,78.0
watch2,1775122769984,79.0
watch2,1775122770974,80.0
watch2,1775122772745,80.0
watch2,1775122773002,81.0
watch2,1775122774791,81.0
watch2,1775122775832,81.0
watch2,1775122776021,80.0
watch2,1775122777868,80.0
