timestamp,device_id,heartbeat,baseline,diff,current_turn
1788167896121,watch1,79.0,75.36363636363636,3.6363636363636402,watch1
1788167896121,watch2,76.0,74.66666666666667,1.3333333333333286,watch1
1788167896121,watch3,80.0,76.25,3.75,watch1
1788167896121,watch4,82.0,79.83333333333333,2.1666666666666714,watch1
1788167897123,watch1,79.0,75.36363636363636,3.6363636363636402,watch1
1788167897123,watch2,76.0,74.66666666666667,1.3333333333333286,watch1
1788167897123,watch3,80.0,76.25,3.75,watch1
1788167897123,watch4,83.0,79.83333333333333,3.1666666666666714,watch1
1788167898158,watch1,79.0,75.36363636363636,3.6363636363636402,watch1
1788167898158,watch2,76.0,74.66666666666667,1.3333333333333286,watch1
1788167898158,watch3,80.0,76.25,3.75,watch1
1788167898158,watch4,83.0,79.83333333333333,3.1666666666666714,watch1
1788167899162,watch1,79.0,75.36363636363636,3.6363636363636402,watch1
1788167899162,watch2,76.0,74.66666666666667,1.3333333333333286,watch1
1788167899162,watch3,80.0,76.25,3.75,watch1
1788167899162,watch4,84.0,79.83333333333333,4.166666666666671,watch1
1788167900165,watch1,79.0,75.36363636363636,3.6363636363636402,watch1
1788167900165,watch2,76.0,74.66666666666667,1.3333333333333286,watch1
1788167900165,watch3,80.0,76.25,3.75,watch1
1788167900165,watch4,85.0,79.83333333333333,5.166666666666671,watch1
1788167901177,watch1,79.0,75.36363636363636,3.6363636363636402,watch1
1788167901177,watch2,76.0,74.66666666666667,1.3333333333333286,watch1
1788167901177,watch3,80.0,76.25,3.75,watch1
1788167901177,watch4,85.0,79.83333333333333,5.166666666666671,watch1
1788167902198,watch1,79.0,75.36363636363636,3.6363636363636402,watch1
1788167902198,watch2,76.0,74.66666666666667,1.3333333333333286,watch1
1788167902198,watch3,80.0,76.25,3.75,watch1
1788167902198,watch4,85.0,79.83333333333333,5.166666666666671,watch1
1788167903216,watch1,79.0,75.36363636363636,3.6363636363636402,watch1
1788167903216,watch2,76.0,74.66666666666667,1.3333333333333286,watch1
1788167903216,watch3,80.0,76.25,3.75,watch1
1788167903216,watch4,85.0,79.83333333333333,5.166666666666671,watch1
1788167904265,watch1,79.0,75.36363636363636,3.6363636363636402,watch1
1788167904265,watch2,76.0,74.66666666666667,1.3333333333333286,watch1
1788167904265,watch3,78.0,76.25,1.75,watch1
1788167904265,watch4,78.0,79.83333333333333,-1.8333333333333286,watch1
